
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
22,1.39,22.1,-38.55,15.07,-1.55,-0.74,140.43,-3.77,10.01,-1.37
23,1.39,22.1,-38.55,15.07,-1.55,-0.74,140.43,-3.77,10.01,0.2
24,-10.91,-20.94,-62.68,85.29,12.45,-0.74,140.43,-3.77,10.01,0.2

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.15,35.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.15,35.56,31.27,-1.03,1.49,1.42,48.67,0.0,0.0,0.0
3,1.15,35.56,31.27,-1.03,1.49,1.42,48.67,1.75,26.9,0.33
4,0.99,35.84,30.87,-1.03,1.49,1.42,48.67,1.75,26.9,0.33
5,0.99,35.84,30.87,-1.02,1.27,1.15,49.26,1.75,26.9,0.33
6,0.99,35.84,30.87,-1.02,1.27,1.15,49.26,1.73,27.1,0.25
7,0.84,35.77,30.88,-0.45,1.27,1.15,49.26,1.73,27.1,0.25
8,0.84,35.77,30.88,-0.45,1.19,1.31,49.21,1.73,27.1,0.25
9,0.75,35.77,30.88,-0.45,1.19,1.31,49.21,1.64,27.25,0.15
10,0.75,36.21,31.55,-0.43,1.19,1.31,49.21,1.64,27.25,0.15
11,0.75,36.21,31.55,-0.43,1.74,1.26,48.89,1.41,27.25,0.15
12,1.55,36.22,31.55,-0.43,1.74,1.26,48.89,1.41,27.47,0.56
13,1.55,36.22,31.91,-0.28,1.22,1.26,48.89,1.41,27.47,0.56
14,1.55,36.22,31.91,-0.28,1.22,1.64,48.91,2.13,27.73,0.56
15,0.57,36.03,30.36,-0.28,1.22,1.64,48.91,2.13,27.73,-0.55
16,0.57,36.03,30.36,-0.89,1.31,1.35,50.15,2.13,27.73,-0.55
17,0.57,36.03,30.36,-0.89,1.31,1.35,50.15,1.1,27.93,0.29
18,0.58,34.73,26.42,0.03,1.31,1.35,50.15,1.1,27.93,0.29
19,0.58,34.73,26.42,0.03,-0.07,0.55,53.75,1.42,27.93,0.29
20,3.15,34.73,26.42,0.03,-0.07,0.55,53.75,1.42,28.1,-0.3
21,3.15,29.03,8.82,3.4,-0.07,0.55,53.75,1.42,28.1,-0.3
22,3.15,29.03,8.82,3.4,-1.24,-0.65,78.8,48.27,28.1,-0.3
23,1.25,29.03,8.82,3.4,-1.24,-0.65,78.8,48.27,28.07,0.27
24,1.25,9.88,-31.69,29.0,5.27,6.27,78.8,48.27,28.07,0.27

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03,34.98,32.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.03,34.98,32.16,-0.81,1.77,0.66,47.23,0.0,0.0,0.0
3,0.03,34.98,32.16,-0.81,1.77,0.66,47.23,0.96,32.18,0.11
4,0.73,34.49,32.16,-0.81,1.77,0.66,47.23,0.96,32.18,0.11
5,0.73,34.49,32.82,-0.59,1.46,0.92,47.23,0.96,32.18,0.11
6,0.73,34.49,32.82,-0.59,1.46,0.92,46.61,1.08,32.32,0.11
7,0.98,34.18,33.57,-0.59,1.46,0.92,46.61,1.08,32.32,0.27
8,0.98,34.18,33.57,-0.31,1.79,1.07,46.62,1.08,32.32,0.27
9,0.67,34.18,33.57,-0.31,1.79,1.07,46.62,1.52,32.53,0.17
10,0.67,34.87,33.03,-0.47,2.05,1.07,46.62,1.52,32.53,0.17
11,0.67,34.87,33.03,-0.47,2.05,1.19,46.52,1.05,32.75,0.17
12,1.14,34.72,33.03,-0.47,2.05,1.19,46.52,1.05,32.75,-0.01
13,1.14,34.72,33.04,-0.84,1.85,1.29,46.52,1.05,32.75,-0.01
14,1.14,34.72,33.04,-0.84,1.85,1.29,46.51,1.22,32.92,0.0
15,1.0,34.62,32.81,-0.84,1.85,1.29,46.51,1.22,32.92,0.0
16,1.0,34.62,32.81,-1.16,1.52,1.26,46.51,1.22,32.92,0.0
17,1.0,34.62,32.81,-1.16,1.52,1.26,46.51,1.93,33.12,0.83
18,0.31,34.11,31.3,-1.05,1.52,1.26,46.51,1.93,33.12,0.83
19,0.31,34.11,31.3,-1.05,1.28,2.2,47.63,-0.13,33.12,0.83
20,-3.57,34.11,31.3,-1.05,1.28,2.2,47.63,-0.13,33.41,-0.54
21,-3.57,29.59,11.33,-0.09,-0.42,2.2,47.63,-0.13,33.41,-0.54
22,-3.57,29.59,11.33,-0.09,-0.42,1.38,64.61,-30.24,33.72,-0.54
23,-10.16,29.59,11.33,-0.09,-0.42,1.38,64.61,-30.24,33.72,0.25
24,-10.16,27.17,-37.53,3.7,-0.02,1.38,64.61,-30.24,33.72,0.25

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.82,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.82,37.6,28.34,-1.75,2.29,1.07,0.0,0.0,0.0,0.0
3,5.82,37.6,28.34,-1.75,2.29,1.07,53.11,11.92,21.67,0.3
4,6.49,37.65,28.34,-1.75,2.29,1.07,53.11,11.92,21.67,0.3
5,6.49,37.65,28.3,-1.29,2.16,1.01,53.11,11.92,21.67,0.3
6,6.49,37.65,28.3,-1.29,2.16,1.01,53.32,12.19,21.79,-0.15
7,6.11,38.32,29.02,-3.05,2.16,1.01,53.32,12.19,21.79,-0.15
8,6.11,38.32,29.02,-3.05,-0.69,1.99,53.5,12.19,21.79,-0.15
9,5.74,38.32,29.02,-3.05,-0.69,1.99,53.5,11.15,22.07,0.26
10,5.74,38.93,26.64,-5.47,-2.85,1.99,53.5,11.15,22.07,0.26
11,5.74,38.93,26.64,-5.47,-2.85,2.28,56.15,10.51,22.43,0.26
12,4.09,38.93,26.64,-5.47,-2.85,2.28,56.15,10.51,22.43,-0.14
13,4.09,38.99,22.99,-4.81,-3.6,2.28,56.15,10.51,22.43,-0.14
14,4.09,38.99,22.99,-4.81,-3.6,2.17,59.08,9.08,22.77,-0.14
15,3.23,37.77,22.99,-4.81,-3.6,2.17,59.08,9.08,22.77,0.03
16,3.23,37.77,17.17,-4.64,-8.36,1.52,59.08,9.08,22.77,0.03
17,3.23,37.77,17.17,-4.64,-8.36,1.52,63.86,9.78,23.03,-0.15
18,1.02,28.91,3.09,-4.64,-8.36,1.52,63.86,9.78,23.03,-0.15
19,1.02,28.91,3.09,-6.14,-15.37,2.38,97.02,9.78,23.03,-0.15
20,1.02,28.91,3.09,-6.14,-15.37,2.38,97.02,9.05,23.36,-2.24
21,-0.17,4.38,-35.73,20.03,-15.37,2.38,97.02,9.05,23.36,-2.24
22,-0.17,4.38,-35.73,20.03,-5.76,7.49,-2.53,2.69,23.36,-2.24
23,-0.17,4.38,-35.73,20.03,-5.76,7.49,-2.53,2.69,24.29,-1.49
24,-6.57,-10.42,-47.47,82.78,-5.76,7.49,-2.53,2.69,24.29,-1.49

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.58,36.56,30.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.58,36.56,30.95,-0.46,1.57,0.81,50.32,0.0,0.0,0.0
3,0.58,36.56,30.95,-0.46,1.57,0.81,50.32,0.44,21.73,0.03
4,0.4,36.59,30.7,-0.77,1.57,0.81,50.32,0.44,21.73,0.03
5,0.4,36.59,30.7,-0.77,1.22,1.13,50.03,0.44,21.73,0.03
