
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
21,8.7,46.92,2.17,-1.65,0.71,0.39,86.97,73.19,23.29,-0.13
22,7.03,46.49,-0.18,-1.82,0.71,0.39,86.97,73.19,23.29,-0.13
23,7.03,46.49,-0.18,-1.82,1.06,2.09,89.62,85.45,23.29,-0.13
24,6.09,46.49,-0.18,-1.82,1.06,2.09,89.62,85.45,23.61,0.2

0,11.04,42.59,-13.42,-19.7,-7.38,1.48,102.98,33.6,21.06,0.64
1,11.04,42.59,-13.42,-19.7,-7.38,1.48,106.23,40.98,21.39,0.24
2,9.98,43.31,-13.01,-5.23,-7.38,1.48,106.23,40.98,21.39,0.24
3,9.98,43.31,-13.01,-5.23,3.65,-0.15,107.8,37.17,21.39,0.24
4,9.98,43.31,-13.01,-5.23,3.65,-0.15,107.8,37.17,21.48,0.3
5,14.57,43.87,-13.01,-5.23,3.65,-0.15,107.8,37.17,21.48,0.3
6,14.57,43.87,-13.71,-6.92,-0.1,4.06,107.8,37.17,21.48,0.3
7,10.25,43.87,-13.71,-6.92,-0.1,4.06,106.85,43.21,21.93,-1.65
8,10.25,44.26,-13.57,-4.44,-0.1,4.06,106.85,43.21,21.93,-1.65
9,10.25,44.26,-13.57,-4.44,3.52,1.33,107.99,34.55,21.93,-1.65
10,9.33,44.18,-13.57,-4.44,3.52,1.33,107.99,34.55,22.41,-0.12
11,9.33,44.18,-12.9,-0.36,3.2,-0.11,107.99,34.55,22.41,-0.12
12,9.33,44.18,-12.9,-0.36,3.2,-0.11,105.54,35.85,22.48,-0.38
13,10.44,45.07,-12.59,-0.36,3.2,-0.11,105.54,35.85,22.48,-0.38
14,10.44,45.07,-12.59,-0.71,2.69,2.16,106.72,35.85,22.48,-0.38
15,10.44,45.07,-12.59,-0.71,2.69,2.16,106.72,36.71,22.57,0.29
16,9.47,45.59,-10.73,0.18,2.69,2.16,106.72,36.71,22.57,0.29
17,9.47,45.59,-10.73,0.18,-0.15,2.84,104.4,38.39,22.57,0.29
18,9.47,45.59,-10.73,0.18,-0.15,2.84,104.4,38.39,23.08,0.04
19,8.28,46.12,-11.84,3.72,-0.15,2.84,104.4,38.39,23.08,0.04
20,8.28,46.12,-11.84,3.72,0.18,0.06,105.0,37.34,23.08,0.04
21,8.46,46.12,-11.84,3.72,0.18,0.06,105.0,37.34,23.21,0.12
22,8.46,41.81,-21.69,6.51,0.25,0.06,105.0,37.34,23.21,0.12
23,8.46,41.81,-21.69,6.51,0.25,-0.13,117.85,25.27,23.32,0.12
24,11.61,32.65,-21.69,6.51,0.25,-0.13,117.85,25.27,23.32,0.03

0,9.92,42.4,-14.06,-16.3,10.82,-0.5,109.52,38.27,31.26,0.31
1,10.33,42.4,-14.06,-16.3,10.82,-0.5,109.52,38.27,31.26,0.0
